size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,6.144e+03,1.024e+00,3.120e+03,5.200e-01,6.000e+03
32,32,32,2.458e+04,1.024e+00,1.234e+04,5.140e-01,2.400e+04
48,48,48,5.530e+04,1.026e+00,2.770e+04,5.138e-01,5.390e+04
64,64,64,9.830e+04,1.021e+00,4.920e+04,5.109e-01,9.630e+04
80,80,80,1.536e+05,1.023e+00,7.685e+04,5.116e-01,1.502e+05
96,96,96,2.212e+05,1.021e+00,1.106e+05,5.108e-01,2.166e+05
112,112,112,3.011e+05,1.022e+00,1.506e+05,5.109e-01,2.947e+05
128,128,128,3.932e+05,1.019e+00,1.967e+05,5.099e-01,3.857e+05
144,144,144,4.977e+05,1.020e+00,2.489e+05,5.102e-01,4.878e+05
160,160,160,6.144e+05,1.020e+00,3.072e+05,5.099e-01,6.026e+05
176,176,176,7.434e+05,1.019e+00,3.718e+05,5.097e-01,7.294e+05
192,192,192,8.847e+05,1.019e+00,4.424e+05,5.095e-01,8.684e+05
208,208,208,1.038e+06,1.020e+00,5.192e+05,5.100e-01,1.018e+06
224,224,224,1.204e+06,1.019e+00,6.022e+05,5.098e-01,1.181e+06
240,240,240,1.382e+06,1.020e+00,6.912e+05,5.098e-01,1.356e+06
256,256,256,1.573e+06,1.018e+00,7.865e+05,5.090e-01,1.545e+06
272,272,272,1.776e+06,1.019e+00,8.879e+05,5.093e-01,1.743e+06
288,288,288,1.991e+06,1.018e+00,9.954e+05,5.092e-01,1.955e+06
304,304,304,2.218e+06,1.019e+00,1.109e+06,5.096e-01,2.176e+06
320,320,320,2.458e+06,1.018e+00,1.229e+06,5.091e-01,2.414e+06
336,336,336,2.710e+06,1.019e+00,1.355e+06,5.095e-01,2.659e+06
352,352,352,2.974e+06,1.019e+00,1.487e+06,5.096e-01,2.918e+06
368,368,368,3.250e+06,1.019e+00,1.625e+06,5.096e-01,3.189e+06
384,384,384,3.539e+06,1.019e+00,1.770e+06,5.096e-01,3.473e+06
400,400,400,3.840e+06,1.020e+00,1.920e+06,5.100e-01,3.765e+06
416,416,416,4.153e+06,1.020e+00,2.077e+06,5.098e-01,4.074e+06
432,432,432,4.479e+06,1.019e+00,2.240e+06,5.095e-01,4.396e+06
448,448,448,4.817e+06,1.020e+00,2.408e+06,5.099e-01,4.723e+06
464,464,464,5.167e+06,1.019e+00,2.584e+06,5.094e-01,5.072e+06
480,480,480,5.530e+06,1.019e+00,2.765e+06,5.095e-01,5.426e+06
496,496,496,5.904e+06,1.019e+00,2.952e+06,5.094e-01,5.795e+06
512,512,512,6.291e+06,1.018e+00,3.146e+06,5.092e-01,6.177e+06
528,528,528,6.691e+06,1.019e+00,3.345e+06,5.094e-01,6.568e+06
544,544,544,7.102e+06,1.020e+00,3.551e+06,5.099e-01,6.964e+06
560,560,560,7.526e+06,1.019e+00,3.763e+06,5.096e-01,7.385e+06
576,576,576,7.963e+06,1.019e+00,3.981e+06,5.095e-01,7.814e+06
592,592,592,8.411e+06,1.018e+00,4.206e+06,5.091e-01,8.261e+06
608,608,608,8.872e+06,1.019e+00,4.436e+06,5.095e-01,8.707e+06
624,624,624,9.345e+06,1.019e+00,4.673e+06,5.095e-01,9.170e+06
640,640,640,9.830e+06,1.019e+00,4.915e+06,5.095e-01,9.646e+06
656,656,656,1.033e+07,1.019e+00,5.164e+06,5.096e-01,1.013e+07
672,672,672,1.084e+07,1.019e+00,5.419e+06,5.095e-01,1.064e+07
688,688,688,1.136e+07,1.019e+00,5.680e+06,5.096e-01,1.115e+07
704,704,704,1.189e+07,1.020e+00,5.947e+06,5.098e-01,1.167e+07
720,720,720,1.244e+07,1.019e+00,6.221e+06,5.096e-01,1.221e+07
736,736,736,1.300e+07,1.018e+00,6.500e+06,5.092e-01,1.277e+07
752,752,752,1.357e+07,1.019e+00,6.786e+06,5.093e-01,1.332e+07
768,768,768,1.416e+07,1.019e+00,7.078e+06,5.093e-01,1.390e+07
784,784,784,1.475e+07,1.019e+00,7.376e+06,5.094e-01,1.448e+07
800,800,800,1.536e+07,1.018e+00,7.680e+06,5.092e-01,1.508e+07
816,816,816,1.598e+07,1.018e+00,7.990e+06,5.091e-01,1.570e+07
832,832,832,1.661e+07,1.019e+00,8.307e+06,5.097e-01,1.630e+07
848,848,848,1.726e+07,1.019e+00,8.629e+06,5.094e-01,1.694e+07
864,864,864,1.792e+07,1.019e+00,8.958e+06,5.097e-01,1.757e+07
880,880,880,1.859e+07,1.018e+00,9.293e+06,5.092e-01,1.825e+07
896,896,896,1.927e+07,1.019e+00,9.634e+06,5.095e-01,1.891e+07
912,912,912,1.996e+07,1.018e+00,9.981e+06,5.092e-01,1.960e+07
928,928,928,2.067e+07,1.019e+00,1.033e+07,5.095e-01,2.028e+07
944,944,944,2.139e+07,1.019e+00,1.069e+07,5.094e-01,2.099e+07
960,960,960,2.212e+07,1.019e+00,1.106e+07,5.097e-01,2.170e+07
976,976,976,2.286e+07,1.018e+00,1.143e+07,5.089e-01,2.246e+07
992,992,992,2.362e+07,1.019e+00,1.181e+07,5.093e-01,2.319e+07
1008,1008,1008,2.439e+07,1.018e+00,1.219e+07,5.092e-01,2.395e+07
