size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,1.075e+04,5.169e-01,3.072e+03,1.477e-01,2.080e+04
32,32,32,4.301e+04,5.157e-01,1.229e+04,1.473e-01,8.340e+04
48,48,48,9.677e+04,5.139e-01,2.765e+04,1.468e-01,1.883e+05
64,64,64,1.720e+05,5.120e-01,4.915e+04,1.463e-01,3.360e+05
80,80,80,2.688e+05,5.111e-01,7.680e+04,1.460e-01,5.259e+05
96,96,96,3.871e+05,5.117e-01,1.106e+05,1.462e-01,7.565e+05
112,112,112,5.268e+05,5.115e-01,1.505e+05,1.461e-01,1.030e+06
128,128,128,6.881e+05,5.108e-01,1.966e+05,1.459e-01,1.347e+06
144,144,144,8.709e+05,5.104e-01,2.488e+05,1.458e-01,1.706e+06
160,160,160,1.075e+06,5.106e-01,3.072e+05,1.459e-01,2.106e+06
176,176,176,1.301e+06,5.107e-01,3.717e+05,1.459e-01,2.548e+06
192,192,192,1.548e+06,5.107e-01,4.424e+05,1.459e-01,3.032e+06
208,208,208,1.817e+06,5.103e-01,5.192e+05,1.458e-01,3.561e+06
224,224,224,2.107e+06,5.104e-01,6.021e+05,1.458e-01,4.129e+06
240,240,240,2.419e+06,5.106e-01,6.912e+05,1.459e-01,4.738e+06
256,256,256,2.753e+06,5.108e-01,7.864e+05,1.459e-01,5.389e+06
272,272,272,3.107e+06,5.105e-01,8.878e+05,1.459e-01,6.087e+06
288,288,288,3.484e+06,5.095e-01,9.953e+05,1.456e-01,6.837e+06
304,304,304,3.881e+06,5.106e-01,1.109e+06,1.459e-01,7.601e+06
320,320,320,4.301e+06,5.106e-01,1.229e+06,1.459e-01,8.423e+06
336,336,336,4.742e+06,5.104e-01,1.355e+06,1.458e-01,9.290e+06
352,352,352,5.204e+06,5.104e-01,1.487e+06,1.458e-01,1.020e+07
368,368,368,5.688e+06,5.106e-01,1.625e+06,1.459e-01,1.114e+07
384,384,384,6.193e+06,5.103e-01,1.769e+06,1.458e-01,1.214e+07
400,400,400,6.720e+06,5.104e-01,1.920e+06,1.458e-01,1.317e+07
416,416,416,7.268e+06,5.106e-01,2.077e+06,1.459e-01,1.423e+07
432,432,432,7.838e+06,5.105e-01,2.239e+06,1.458e-01,1.535e+07
448,448,448,8.430e+06,5.104e-01,2.408e+06,1.458e-01,1.652e+07
464,464,464,9.042e+06,5.104e-01,2.584e+06,1.458e-01,1.772e+07
480,480,480,9.677e+06,5.100e-01,2.765e+06,1.457e-01,1.897e+07
496,496,496,1.033e+07,5.102e-01,2.952e+06,1.458e-01,2.025e+07
512,512,512,1.101e+07,5.104e-01,3.146e+06,1.458e-01,2.157e+07
528,528,528,1.171e+07,5.103e-01,3.345e+06,1.458e-01,2.295e+07
544,544,544,1.243e+07,5.103e-01,3.551e+06,1.458e-01,2.436e+07
560,560,560,1.317e+07,5.103e-01,3.763e+06,1.458e-01,2.581e+07
576,576,576,1.393e+07,5.105e-01,3.981e+06,1.459e-01,2.729e+07
592,592,592,1.472e+07,5.097e-01,4.206e+06,1.456e-01,2.888e+07
608,608,608,1.553e+07,5.097e-01,4.436e+06,1.456e-01,3.046e+07
624,624,624,1.635e+07,5.102e-01,4.673e+06,1.458e-01,3.205e+07
640,640,640,1.720e+07,5.103e-01,4.915e+06,1.458e-01,3.371e+07
656,656,656,1.807e+07,5.103e-01,5.164e+06,1.458e-01,3.542e+07
672,672,672,1.897e+07,5.103e-01,5.419e+06,1.458e-01,3.717e+07
688,688,688,1.988e+07,5.101e-01,5.680e+06,1.457e-01,3.897e+07
704,704,704,2.082e+07,5.100e-01,5.947e+06,1.457e-01,4.081e+07
720,720,720,2.177e+07,5.101e-01,6.221e+06,1.458e-01,4.268e+07
736,736,736,2.275e+07,5.100e-01,6.500e+06,1.457e-01,4.461e+07
752,752,752,2.375e+07,5.100e-01,6.786e+06,1.457e-01,4.658e+07
768,768,768,2.477e+07,5.100e-01,7.078e+06,1.457e-01,4.857e+07
784,784,784,2.582e+07,5.101e-01,7.376e+06,1.457e-01,5.061e+07
800,800,800,2.688e+07,5.102e-01,7.680e+06,1.458e-01,5.269e+07
816,816,816,2.797e+07,5.100e-01,7.990e+06,1.457e-01,5.483e+07
832,832,832,2.907e+07,5.099e-01,8.307e+06,1.457e-01,5.702e+07
848,848,848,3.020e+07,5.101e-01,8.629e+06,1.457e-01,5.921e+07
864,864,864,3.135e+07,5.100e-01,8.958e+06,1.457e-01,6.148e+07
880,880,880,3.252e+07,5.100e-01,9.293e+06,1.457e-01,6.377e+07
896,896,896,3.372e+07,5.098e-01,9.634e+06,1.456e-01,6.615e+07
912,912,912,3.493e+07,5.100e-01,9.981e+06,1.457e-01,6.849e+07
928,928,928,3.617e+07,5.101e-01,1.033e+07,1.458e-01,7.090e+07
944,944,944,3.743e+07,5.101e-01,1.069e+07,1.457e-01,7.337e+07
960,960,960,3.871e+07,5.100e-01,1.106e+07,1.457e-01,7.590e+07
976,976,976,4.001e+07,5.101e-01,1.143e+07,1.457e-01,7.843e+07
992,992,992,4.133e+07,5.100e-01,1.181e+07,1.457e-01,8.104e+07
1008,1008,1008,4.267e+07,5.098e-01,1.219e+07,1.457e-01,8.371e+07
