size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,6.144e+03,9.600e-01,3.120e+03,4.875e-01,6.400e+03
32,32,32,2.458e+04,9.526e-01,1.234e+04,4.781e-01,2.580e+04
48,48,48,5.530e+04,9.517e-01,2.770e+04,4.767e-01,5.810e+04
64,64,64,9.830e+04,9.407e-01,4.920e+04,4.708e-01,1.045e+05
80,80,80,1.536e+05,9.481e-01,7.685e+04,4.744e-01,1.620e+05
96,96,96,2.212e+05,9.460e-01,1.106e+05,4.732e-01,2.338e+05
112,112,112,3.011e+05,9.435e-01,1.506e+05,4.719e-01,3.191e+05
128,128,128,3.932e+05,9.434e-01,1.967e+05,4.718e-01,4.168e+05
144,144,144,4.977e+05,9.433e-01,2.489e+05,4.717e-01,5.276e+05
160,160,160,6.144e+05,9.438e-01,3.072e+05,4.720e-01,6.510e+05
176,176,176,7.434e+05,9.425e-01,3.718e+05,4.713e-01,7.888e+05
192,192,192,8.847e+05,9.425e-01,4.424e+05,4.713e-01,9.387e+05
208,208,208,1.038e+06,9.412e-01,5.192e+05,4.706e-01,1.103e+06
224,224,224,1.204e+06,9.423e-01,6.022e+05,4.712e-01,1.278e+06
240,240,240,1.382e+06,9.419e-01,6.912e+05,4.710e-01,1.468e+06
256,256,256,1.573e+06,9.413e-01,7.865e+05,4.707e-01,1.671e+06
272,272,272,1.776e+06,9.404e-01,8.879e+05,4.702e-01,1.888e+06
288,288,288,1.991e+06,9.421e-01,9.954e+05,4.711e-01,2.113e+06
304,304,304,2.218e+06,9.411e-01,1.109e+06,4.706e-01,2.357e+06
320,320,320,2.458e+06,9.411e-01,1.229e+06,4.706e-01,2.611e+06
336,336,336,2.710e+06,9.416e-01,1.355e+06,4.708e-01,2.878e+06
352,352,352,2.974e+06,9.415e-01,1.487e+06,4.708e-01,3.158e+06
368,368,368,3.250e+06,9.413e-01,1.625e+06,4.706e-01,3.453e+06
384,384,384,3.539e+06,9.378e-01,1.770e+06,4.689e-01,3.774e+06
400,400,400,3.840e+06,9.409e-01,1.920e+06,4.705e-01,4.081e+06
416,416,416,4.153e+06,9.408e-01,2.077e+06,4.704e-01,4.415e+06
432,432,432,4.479e+06,9.409e-01,2.240e+06,4.705e-01,4.760e+06
448,448,448,4.817e+06,9.407e-01,2.408e+06,4.704e-01,5.120e+06
464,464,464,5.167e+06,9.411e-01,2.584e+06,4.706e-01,5.490e+06
480,480,480,5.530e+06,9.408e-01,2.765e+06,4.704e-01,5.878e+06
496,496,496,5.904e+06,9.411e-01,2.952e+06,4.705e-01,6.274e+06
512,512,512,6.291e+06,9.229e-01,3.146e+06,4.614e-01,6.817e+06
528,528,528,6.691e+06,9.412e-01,3.345e+06,4.706e-01,7.109e+06
544,544,544,7.102e+06,9.406e-01,3.551e+06,4.703e-01,7.551e+06
560,560,560,7.526e+06,9.413e-01,3.763e+06,4.706e-01,7.996e+06
576,576,576,7.963e+06,9.392e-01,3.981e+06,4.696e-01,8.478e+06
592,592,592,8.411e+06,9.406e-01,4.206e+06,4.703e-01,8.943e+06
608,608,608,8.872e+06,9.405e-01,4.436e+06,4.702e-01,9.434e+06
624,624,624,9.345e+06,9.408e-01,4.673e+06,4.704e-01,9.933e+06
640,640,640,9.830e+06,9.341e-01,4.915e+06,4.671e-01,1.052e+07
656,656,656,1.033e+07,9.413e-01,5.164e+06,4.706e-01,1.097e+07
672,672,672,1.084e+07,9.405e-01,5.419e+06,4.702e-01,1.152e+07
688,688,688,1.136e+07,9.408e-01,5.680e+06,4.704e-01,1.208e+07
704,704,704,1.189e+07,9.394e-01,5.947e+06,4.697e-01,1.266e+07
720,720,720,1.244e+07,9.403e-01,6.221e+06,4.702e-01,1.323e+07
736,736,736,1.300e+07,9.403e-01,6.500e+06,4.702e-01,1.383e+07
752,752,752,1.357e+07,9.406e-01,6.786e+06,4.703e-01,1.443e+07
768,768,768,1.416e+07,9.343e-01,7.078e+06,4.672e-01,1.515e+07
784,784,784,1.475e+07,9.402e-01,7.376e+06,4.701e-01,1.569e+07
800,800,800,1.536e+07,9.399e-01,7.680e+06,4.700e-01,1.634e+07
816,816,816,1.598e+07,9.405e-01,7.990e+06,4.703e-01,1.699e+07
832,832,832,1.661e+07,9.373e-01,8.307e+06,4.687e-01,1.772e+07
848,848,848,1.726e+07,9.405e-01,8.629e+06,4.702e-01,1.835e+07
864,864,864,1.792e+07,9.392e-01,8.958e+06,4.696e-01,1.908e+07
880,880,880,1.859e+07,9.401e-01,9.293e+06,4.701e-01,1.977e+07
896,896,896,1.927e+07,9.328e-01,9.634e+06,4.664e-01,2.066e+07
912,912,912,1.996e+07,9.400e-01,9.981e+06,4.700e-01,2.124e+07
928,928,928,2.067e+07,9.391e-01,1.033e+07,4.695e-01,2.201e+07
944,944,944,2.139e+07,9.394e-01,1.069e+07,4.697e-01,2.277e+07
960,960,960,2.212e+07,9.344e-01,1.106e+07,4.672e-01,2.367e+07
976,976,976,2.286e+07,9.392e-01,1.143e+07,4.696e-01,2.434e+07
992,992,992,2.362e+07,9.384e-01,1.181e+07,4.692e-01,2.517e+07
1008,1008,1008,2.439e+07,9.383e-01,1.219e+07,4.692e-01,2.599e+07
